modele,lambda,mu,serveurs,capacite,rho,arrives,rejetes,sortis,N_systeme,N_file,W_systeme,W_file,taux_rejet,th_L,th_W,th_rejet
M/M/1,4,8,1,inf,0.5000,401515,0,401515,1.0085,0.5072,0.251175,0.126318,0.000000,1.000,0.2500,0.00
M/M/1,6,8,1,inf,0.7500,599285,0,599285,2.9564,2.2085,0.493315,0.368521,0.000000,3.000,0.5000,0.00
M/M/1,8,8,1,inf,1.0000,798895,0,798795,581.6388,580.6403,72.813772,72.688693,0.000000,inf,inf,0.00
M/M/1,12,8,1,inf,1.5000,1200912,0,800634,200948.7760,200947.7760,16769.965140,16769.861011,0.000000,inf,inf,0.00
M/M/1/4,4,8,1,4,0.5000,400000,12882,387115,0.8376,0.3545,0.216362,0.091573,0.032205,0.839,0.2167,3.23
M/M/1/4,6,8,1,4,0.7500,600034,61669,538365,1.4401,0.7680,0.267496,0.142658,0.102776,1.444,0.2686,10.37
M/M/1/4,8,8,1,4,1.0000,800025,160496,639528,2.0017,1.2014,0.312993,0.187858,0.200614,2.000,0.3125,20.00
M/M/1/4,12,8,1,4,1.5000,1199791,459488,740299,2.7599,1.8358,0.372809,0.247979,0.382973,2.758,0.3731,38.39
M/M/1/8,4,8,1,8,0.5000,399979,827,399152,0.9819,0.4836,0.245997,0.121161,0.002068,0.982,0.2461,0.20
M/M/1/8,6,8,1,8,0.7500,599875,15809,584061,2.2568,1.5275,0.386392,0.261525,0.026354,2.269,0.3887,2.71
M/M/1/8,8,8,1,8,1.0000,800530,88922,711607,4.0059,3.1161,0.562938,0.437898,0.111079,4.000,0.5625,11.11
M/M/1/8,12,8,1,8,1.5000,1200223,409744,790472,6.2307,5.2441,0.788219,0.663408,0.341390,6.240,0.7906,34.22
M/M/3/8,4,8,3,8,0.1667,398791,0,398791,0.5013,0.0030,0.125707,0.000758,0.000000,0.503,0.1258,0.00
M/M/3/8,6,8,3,8,0.2500,600520,15,600504,0.7667,0.0147,0.127669,0.002447,0.000025,0.765,0.1274,0.00
M/M/3/8,8,8,3,8,0.3333,800256,175,800081,1.0427,0.0443,0.130330,0.005535,0.000219,1.044,0.1306,0.02
M/M/3/8,12,8,3,8,0.5000,1200945,4606,1196337,1.7093,0.2123,0.142880,0.017748,0.003835,1.706,0.1427,0.37
